Unicode	Version	Description	Category	Group
1F600	6.1	grinning face	Smileys & People	face-positive
1F601	6.0	grinning face with smiling eyes	Smileys & People	face-positive
1F602	6.0	face with tears of joy	Smileys & People	face-positive
1F923	9.0	rolling on the floor laughing	Smileys & People	face-positive
1F603	6.0	smiling face with open mouth	Smileys & People	face-positive
1F604	6.0	smiling face with open mouth & smiling eyes	Smileys & People	face-positive
1F605	6.0	smiling face with open mouth & cold sweat	Smileys & People	face-positive
1F606	6.0	smiling face with open mouth & closed eyes	Smileys & People	face-positive
1F609	6.0	winking face	Smileys & People	face-positive
1F60A	6.0	smiling face with smiling eyes	Smileys & People	face-positive
1F60B	6.0	face savouring delicious food	Smileys & People	face-positive
1F60E	6.0	smiling face with sunglasses	Smileys & People	face-positive
1F60D	6.0	smiling face with heart-eyes	Smileys & People	face-positive
1F618	6.0	face blowing a kiss	Smileys & People	face-positive
1F617	6.1	kissing face	Smileys & People	face-positive
1F619	6.1	kissing face with smiling eyes	Smileys & People	face-positive
1F61A	6.0	kissing face with closed eyes	Smileys & People	face-positive
263A	1.1	smiling face	Smileys & People	face-positive
1F642	7.0	slightly smiling face	Smileys & People	face-positive
1F917	8.0	hugging face	Smileys & People	face-positive
1F929	10.0	star-struck	Smileys & People	face-positive
1F914	8.0	thinking face	Smileys & People	face-neutral
1F928	10.0	face with raised eyebrow	Smileys & People	face-neutral
1F610	6.0	neutral face	Smileys & People	face-neutral
1F611	6.1	expressionless face	Smileys & People	face-neutral
1F636	6.0	face without mouth	Smileys & People	face-neutral
1F644	8.0	face with rolling eyes	Smileys & People	face-neutral
1F60F	6.0	smirking face	Smileys & People	face-neutral
1F623	6.0	persevering face	Smileys & People	face-neutral
1F625	6.0	disappointed but relieved face	Smileys & People	face-neutral
1F62E	6.1	face with open mouth	Smileys & People	face-neutral
1F910	8.0	zipper-mouth face	Smileys & People	face-neutral
1F62F	6.1	hushed face	Smileys & People	face-neutral
1F62A	6.0	sleepy face	Smileys & People	face-neutral
1F62B	6.0	tired face	Smileys & People	face-neutral
1F634	6.1	sleeping face	Smileys & People	face-neutral
1F60C	6.0	relieved face	Smileys & People	face-neutral
1F61B	6.1	face with stuck-out tongue	Smileys & People	face-neutral
1F61C	6.0	face with stuck-out tongue & winking eye	Smileys & People	face-neutral
1F61D	6.0	face with stuck-out tongue & closed eyes	Smileys & People	face-neutral
1F924	9.0	drooling face	Smileys & People	face-neutral
1F612	6.0	unamused face	Smileys & People	face-neutral
1F613	6.0	face with cold sweat	Smileys & People	face-neutral
1F614	6.0	pensive face	Smileys & People	face-neutral
1F615	6.1	confused face	Smileys & People	face-neutral
1F643	8.0	upside-down face	Smileys & People	face-neutral
1F911	8.0	money-mouth face	Smileys & People	face-neutral
1F632	6.0	astonished face	Smileys & People	face-neutral
2639	1.1	frowning face	Smileys & People	face-negative
1F641	7.0	slightly frowning face	Smileys & People	face-negative
1F616	6.0	confounded face	Smileys & People	face-negative
1F61E	6.0	disappointed face	Smileys & People	face-negative
1F61F	6.1	worried face	Smileys & People	face-negative
1F624	6.0	face with steam from nose	Smileys & People	face-negative
1F622	6.0	crying face	Smileys & People	face-negative
1F62D	6.0	loudly crying face	Smileys & People	face-negative
1F626	6.1	frowning face with open mouth	Smileys & People	face-negative
1F627	6.1	anguished face	Smileys & People	face-negative
1F628	6.0	fearful face	Smileys & People	face-negative
1F629	6.0	weary face	Smileys & People	face-negative
1F92F	10.0	exploding head	Smileys & People	face-negative
1F62C	6.1	grimacing face	Smileys & People	face-negative
1F630	6.0	face with open mouth & cold sweat	Smileys & People	face-negative
1F631	6.0	face screaming in fear	Smileys & People	face-negative
1F633	6.0	flushed face	Smileys & People	face-negative
1F92A	10.0	crazy face	Smileys & People	face-negative
1F635	6.0	dizzy face	Smileys & People	face-negative
1F621	6.0	pouting face	Smileys & People	face-negative
1F620	6.0	angry face	Smileys & People	face-negative
1F92C	10.0	face with symbols over mouth	Smileys & People	face-negative
1F637	6.0	face with medical mask	Smileys & People	face-sick
1F912	8.0	face with thermometer	Smileys & People	face-sick
1F915	8.0	face with head-bandage	Smileys & People	face-sick
1F922	9.0	nauseated face	Smileys & People	face-sick
1F92E	10.0	face vomiting	Smileys & People	face-sick
1F927	9.0	sneezing face	Smileys & People	face-sick
1F607	6.0	smiling face with halo	Smileys & People	face-role
1F920	9.0	cowboy hat face	Smileys & People	face-role
1F921	9.0	clown face	Smileys & People	face-role
1F925	9.0	lying face	Smileys & People	face-role
1F92B	10.0	shushing face	Smileys & People	face-role
1F92D	10.0	face with hand over mouth	Smileys & People	face-role
1F9D0	10.0	face with monocle	Smileys & People	face-role
1F913	8.0	nerd face	Smileys & People	face-role
1F608	6.0	smiling face with horns	Smileys & People	face-fantasy
1F47F	6.0	angry face with horns	Smileys & People	face-fantasy
1F479	6.0	ogre	Smileys & People	face-fantasy
1F47A	6.0	goblin	Smileys & People	face-fantasy
1F480	6.0	skull	Smileys & People	face-fantasy
