Sequence	Description	Category	Vendors
🏴‍☠️	Pirate Flag	Flags	Twitter
🐱‍👤	Ninja Cat	Other	Microsoft
	Condom	Other	Durex
☺⚡	Inventive Face, Idea	Faces	
☺✨	Bedazzled Face, Bewitched Face, Hexed Face	Faces	
☺❄	Freezing Face, Shivering Face	Faces	
☺🍴	Eating Face	Faces	
☺🎀	Bowtie Face	Faces	
☺👁	Cyclops Face	Faces	
☺💞	Face in Love (not with Heart Eyes 😍)	Faces	
☺💡	Inventive Face, Idea	Faces	
☺💢	Angry Face (😠)	Faces	
☺💤	Sleeping Face (😴)	Faces	
☺💦	(Cold) Sweat added to any Face Emoticon Emoji	Faces	
☺💧	Tear added to any Face Emoticon Emoji	Faces	
☺💫	Dizzy Face (😵), Face Seeing Stars	Faces	
☺💬	Speaking Face (😮)	Faces	
☺💭	Thinking Face (🤔)	Faces	
☺🕶	Face Wearing Sunglasses (😎)	Faces	
☺🗯	Screaming Face (😱)	Faces	
☺🚬	Smoking Face	People	
♎🗓	October	Other	
♏🗓	November	Other	
♐🗓	December	Other	
♑🗓	January	Other	
✊✋✌	Rock-Paper-Scissors, Roshambo	Other	
✋💥✋	High Five, 🙋💥🙋 People High-Fiving	Other	
❤🌈	Rainbow Heart (Love is Love)	Other	
🌚💤	Sleeping Moon	Faces	
🌛💤	Sleeping Moon	Faces	
🌜💤	Sleeping Moon	Faces	
🌝💤	Sleeping Moon	Faces	
🌞🕶	Sun with Face Wearing Sunglasses	Faces	
🌲🌲	Wood, Forest	Other	
🌳🌲	Wood, Forest	Other	
🌳🌳	Wood, Forest	Other	
🎃📅	Halloween = Oct31. Calendar sheet showing a particular date or symbol	Other	
🎃📆	🎃📅 Halloween = Oct31. Calendar sheet showing a particular date or symbol	Other	
🎃🗓	October	Other	
🎄📅	Christmas = Dec25. Calendar sheet showing a particular date or symbol	Other	
🎄📆	Christmas = Dec25. Calendar sheet showing a particular date or symbol	Other	
🎄🗓	December	Other	
🎅📅	Christmas = Dec25. Calendar sheet showing a particular date or symbol	Other	
🎅📆	Christmas = Dec25. Calendar sheet showing a particular date or symbol	Other	
🎅🗓	December	Other	
🎆📅	New Year's Eve = Dec31 🗓. Calendar sheet showing a particular date or symbol	Other	
🎆📆	New Year's Eve = Dec31 🗓. Calendar sheet showing a particular date or symbol	Other	
🎆🗓	January	Other	
🎇📅	New Year's Eve = Dec31 🗓. Calendar sheet showing a particular date or symbol	Other	
🎇📆	New Year's Eve = Dec31 🗓. Calendar sheet showing a particular date or symbol	Other	
🎇🗓	January	Other	
🎗❤	Red Awareness Ribbon	Other	
🎗💙	Blue Awareness Ribbon	Other	
🎗💚	Green Awareness Ribbon	Other	
🎗💛	Yellow Awareness Ribbon	Other	
🎗💜	Purple Awareness Ribbon	Other	
🎗🖤	Black Awareness Ribbon	Other	
🎲1️⃣	Dice Face	Other	
🎲2️⃣	Dice Face	Other	
🎲3️⃣	Dice Face	Other	
🎲4️⃣	Dice Face	Other	
🎲5️⃣	Dice Face	Other	
🎲6️⃣	Dice Face	Other	
🏄🦈	Shark Attack	Other	
🏊🦈	Shark Attack	Other	
🏛⚖	Court / Parliament	Other	
🏛⚗	Laboratory	Other	
🏛📚	Library	Other	
🏛🔬	University	Other	
🏛🔭	Observatory	Other	
🏛🔮	Temple Building	Other	
🐍⚱	Dancing Snake, Snake in Basket	Other	
🐍🏺	Dancing Snake, Snake in Basket	Other	
🐍🗑	Dancing Snake, Snake in Basket	Other	
🐘🏞	Zo, Wildlife Preserve	Other	
🐰🥕	Rabbit Eating Carrot, Bugs Bunny	Other	
🐻🍯	Bear Eating Honey, Winnie the Pooh	Other	
🐻🐮	Bear Looking Down and Bull Looking Up Facing Each Other, stock market metaphor	Other	
👂☺👂	Face with Ears	Faces	
👉☺👈	Not Listening Face ()	Faces	
👉👌	Sex Hand Sign	Other	
👨♋👩	Couple in 69 Oral Sex Position, also 👨♋👨 and 👩♋👩 of course	Other	
👨⚓	Sailors	People	
👨⚽	Soccer Players	People	
👨⚾	Baseball Players	People	
👨⛸	Ice Skater	People	
👨🎉	👨🎊/👩🎊 People with Party Hat, People Partying (👯)	People	
👨🎖	Soldiers / Officers, Fighters: 👨⚔/👩⚔ Attackers, 👨🛡/👩🛡 Defenders	People	
👨🎣	Fishers	People	
👨🎧	Listening to Music	People	
👨🎮	(Pro) Gamer	People	
👨🎱	Billiard/Pool/Snooker Players (Holding Queue)	People	
👨🎷	Jazz Musician	People	
👨🎸	Rock Musician	People	
👨🎹	Pop Musician	People	
👨🎻	Classical Musician	People	
👨🎾	Tennis Players	People	
👨🏀	Basketball Players (⛹)	People	
👨🏈	Football Players	People	
👨🏉	Rugby Players	People	
👨🏏	Cricket Players	People	
👨🏐	Volleyball Players	People	
👨🏑	Field Hockey Players	People	
👨🏒	Ice Hockey Players	People	
👨🏓	Pingpong Players	People	
👨🏩	Sex Workers, Prostitutes, Pimp/Whore, Porn Stars	People	
👨🏸	Badminton Players	People	
👨🏹	Archers	People	
👨👏	People Giving	People	
👨👩⛸	Figure Skating Couple	People	
👨💠	Kawai People, ☺💠 Kawai Face	People	
👨💪	Bodybuilders, People Flexing Muscles, Showoffs	People	
👨📛	People with Name Tag	People	
👨📣	Protesters	People	
👨📰	People Reading	People	
👨🔴	People with Bindu	People	
👨🕹	(Pro) Gamer	People	
👨🙌	People with Raised Hands (as originally intended)	People	
👨🙏	People with Folded Hands (as originally intended)	People	
👨🚬	Smoking People	People	
👨🚿	People Showering	People	
👨🤳		People	
👨🥁	Marching Band Musician	People	
👨🥅	Goalies, Goal Keepers	People	
👨🥊	Boxers	People	
👨🥋	Martial Arts Fighters	People	
👩	👨🎊/👩🎊 People with Party Hat, People Partying (👯)	People	
👩⚓	Sailors	People	
👩⚽	Soccer Players	People	
👩⚾	Baseball Players	People	
👩⛸	Ice Skater	People	
👩🎖	Soldiers / Officers, Fighters: 👨⚔/👩⚔ Attackers, 👨🛡/👩🛡 Defenders	People	
👩🎣	Fishers	People	
👩🎧	Listening to Music	People	
👩🎮	(Pro) Gamer	People	
👩🎱	Billiard/Pool/Snooker Players (Holding Queue)	People	
👩🎷	Jazz Musician	People	
👩🎸	Rock Musician	People	
👩🎹	Pop Musician	People	
👩🎺	Orchestra Musician	People	
👩🎺	Orchestra Musician	People	
👩🎻	Classical Musician	People	
👩🎾	Tennis Players	People	
👩🏀	Basketball Players (⛹)	People	
👩🏈	Football Players	People	
👩🏉	Rugby Players	People	
👩🏏	Cricket Players	People	
👩🏐	Volleyball Players	People	
👩🏑	Field Hockey Players	People	
👩🏒	Ice Hockey Players	People	
👩🏓	Pingpong Players	People	
👩🏩	Sex Workers, Prostitutes, Pimp/Whore, Porn Stars	People	
👩🏸	Badminton Players	People	
👩🏹	Archers	People	
👩👏	People Giving	People	
👩💠	Kawai People, ☺💠 Kawai Face	People	
👩💪	Bodybuilders, People Flexing Muscles, Showoffs	People	
👩📛	People with Name Tag	People	
👩📣	Protesters	People	
👩📰	People Reading	People	
👩🔴	People with Bindu	People	
👩🕹	(Pro) Gamer	People	
👩🙌	People with Raised Hands (as originally intended)	People	
👩🙏	People with Folded Hands (as originally intended)	People	
👩🚬	Smoking People	People	
👩🚿	People Showering	People	
👩🤳		People	
👩🥁	Marching Band Musician	People	
👩🥅	Goalies, Goal Keepers	People	
👩🥊	Boxers	People	
👩🥋	Martial Arts Fighters	People	
👭👫👬	People Holding Hands	Other	
👰🤵	Wedding Couple (💍 💒)	Other	
👸🤴	Royal Couple, Regal Couple (👑)	Other	
👹💚	Shrek, Orc, Ogre	Other	
💣💥	Bomb Exploding	Other	
📜✨	Magic Spell, Magic Book: 📓✨, 📔✨, 📕✨, 📗✨, 📘✨, 📙✨, 📚✨, 📖✨	Other	
🕳⛏	Hole Digging	Other	
🕷🕸	Spider in Web	Other	
🕺💃	Dancing Couple	Other	
🕺💃⛸	Figure Skating Couple	People	
🚣🦈	Shark Attack	Other	
🚪⛔	Do Not Disturb, Do Not Enter	Other	
🚪🔑	Closed Door	Other	
🚪🚫	Do Not Disturb, Do Not Enter	Other	
🤜🤛	Fist Bump	Other	
🤶🎅	Christmas Couple	Other	
🦃📅	Thanksgiving = NovThu. Calendar sheet showing a particular date or symbol	Other	
🦃📆	Thanksgiving = NovThu. Calendar sheet showing a particular date or symbol	Other	
🦃🗓	November	Other	
🦆🛀	Rubber Duck (as orignally intended)	Other	
🦆🛁	Rubber Duck (as orignally intended)	Other	
🦌🔴	Rudolph the Red-Nosed Reindeer	Other	
🦌🚨	Rudolph the Red-Nosed Reindeer	Other	
	
⌚🕐	⌚🕑, ⌚🕒, ⌚🕓, ⌚🕔, ⌚🕕, ⌚🕖, ⌚🕗, ⌚🕘, ⌚🕙, ⌚🕚, ⌚🕛, ⌚🕜, ⌚🕝, ⌚🕞, ⌚🕟, ⌚🕠, ⌚🕡, ⌚🕢, ⌚🕣, ⌚🕤, ⌚🕥, ⌚🕦, ⌚🕧; ⏰🕐, ⏰🕑, ⏰🕒, ⏰🕓, ⏰🕔, ⏰🕕, ⏰🕖, ⏰🕗, ⏰🕘, ⏰🕙, ⏰🕚, ⏰🕛, ⏰🕜, ⏰🕝, ⏰🕞, ⏰🕟, ⏰🕠, ⏰🕡, ⏰🕢, ⏰🕣, ⏰🕤, ⏰🕥, ⏰🕦, ⏰🕧; 🕰🕐, 🕰🕑, 🕰🕒, 🕰🕓, 🕰🕔, 🕰🕕, 🕰🕖, 🕰🕗, 🕰🕘, 🕰🕙, 🕰🕚, 🕰🕛, 🕰🕜, 🕰🕝, 🕰🕞, 🕰🕟, 🕰🕠, 🕰🕡, 🕰🕢, 🕰🕣, 🕰🕤, 🕰🕥, 🕰🕦, 🕰🕧 &ndash; clocks showing particular times	Other	
